"rowid","Species","Confidence","True.Positive","Voc.ID","ARU.Name","Date","Hour","Minute","Second","File"
1,"Acadian Flycatcher",0.99,NA,1,"UF2-4",20240522,8,1,36,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240522_080100.wav"
2,"Acadian Flycatcher",0.91,NA,2,"UF2-1",20240521,7,0,12,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240521_070000.wav"
3,"Acadian Flycatcher",0.94,NA,3,"UF2-1",20240523,6,1,6,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240523_060100.wav"
4,"Acadian Flycatcher",0.58,NA,4,"UF3-9",20240525,6,2,48,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240525_060200.wav"
5,"Acadian Flycatcher",0.42,NA,5,"UF2-1",20240525,6,1,54,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240525_060100.wav"
6,"Acadian Flycatcher",0.92,NA,6,"UF2-6",20240517,8,0,3,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240517_080000.wav"
7,"Acadian Flycatcher",0.92,NA,7,"UF2-1",20240530,6,3,0,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240530_060300.wav"
8,"Acadian Flycatcher",0.48,NA,8,"UF2-4",20240607,7,2,15,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240607_070200.wav"
9,"Acadian Flycatcher",0.72,NA,9,"UF2-4",20240528,7,1,24,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240528_070100.wav"
10,"Acadian Flycatcher",0.5,NA,10,"UF2-9",20240517,7,1,21,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240517_070100.wav"
11,"Acadian Flycatcher",0.34,NA,11,"UF2-4",20240608,7,2,15,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240608_070200.wav"
12,"Acadian Flycatcher",0.54,NA,12,"UF2-4",20240601,7,3,45,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240601_070300.wav"
13,"Acadian Flycatcher",0.59,NA,13,"UF2-1",20240530,7,0,15,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240530_070000.wav"
14,"Acadian Flycatcher",0.61,NA,14,"UF3-9",20240607,7,4,45,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240607_070400.wav"
15,"Acadian Flycatcher",0.32,NA,15,"UF2-9",20240602,8,2,0,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240602_080200.wav"
16,"Acadian Flycatcher",0.8,NA,16,"UF2-1",20240518,7,3,15,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240518_070300.wav"
17,"Acadian Flycatcher",0.95,NA,17,"UF2-6",20240608,7,1,51,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240608_070100.wav"
18,"Acadian Flycatcher",0.58,NA,18,"UF2-6",20240523,8,4,42,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240523_080400.wav"
19,"Acadian Flycatcher",0.56,NA,19,"UF2-1",20240531,8,3,27,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240531_080300.wav"
20,"Acadian Flycatcher",0.75,NA,20,"UF2-6",20240610,8,3,54,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240610_080300.wav"
21,"Acadian Flycatcher",0.81,NA,21,"UF2-4",20240526,6,4,12,"C:\Users\willh\Documents\NCSU\Disertation_Code\BirdNet\Data\Acadian_Flycatcher\20240526_060400.wav"
